eval/mean_ep_length,train/n_updates,train/learning_rate,train/std,train/clip_fraction,train/explained_variance,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_range,eval/success_rate,time/total_timesteps,eval/mean_reward,train/loss,train/value_loss,reward/env_0,pose_reward/env_0,success_rate/env_0,distance_reward/env_0,reward/env_1,distance_reward/env_1,success_rate/env_1,pose_reward/env_1,distance_reward/env_2,reward/env_2,success_rate/env_2,pose_reward/env_2,reward/env_3,distance_reward/env_3,success_rate/env_3,pose_reward/env_3,pose_reward/env_4,distance_reward/env_4,reward/env_4,success_rate/env_4,pose_reward/env_5,reward/env_5,success_rate/env_5,distance_reward/env_5,pose_reward/env_6,success_rate/env_6,distance_reward/env_6,reward/env_6,success_rate/env_7,reward/env_7,distance_reward/env_7,pose_reward/env_7
,,,,,,,,,,,,,,,,,,,-24281.004621817287,-0.7104917212573512,0.0,-2774.971945248299,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,-0.4063508491573512,-20913.731298973067,0.0,-2218.7305323130286,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-17204.11440293755,-0.5945728289326354,0.0,-1597.1061609939993,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2067.00646128925,0.8174377944229154,-20000.044140969014,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2344.780495625745,-21727.228055035073,0.0,0.22748645322071123,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2699.8677723170013,0.0,0.2521129458584434,-23852.60395622679,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-17022.510343518617,-0.09613904930898769,-1562.0039182037965
102.0,110,0.0003,0.9936298727989197,0.008331298828125,-2.384185791015625e-07,-9.889295482635498,0.0030980879,-0.0010265548602546915,0.2,0.0,192000,-3149.80139083,109596.796875,394685.76352539065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,120,0.0003,0.988688588142395,0.031610107421875,-2.384185791015625e-07,-9.86448331773281,0.0047183214,-0.0027867408189194975,0.2,,,,230168.34375,404003.48466796876,-23202.92485540543,-2595.044449523566,0.0,1.0419736226607954,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-20759.675458126774,0.9877160469112422,0.0,-2190.781959068043,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.8596614099043809,-19659.70207798098,0.0,-2004.8250077400685,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-21328.908559381867,0.6615190302751944,0.0,-2285.4946122605925,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3033.370062298307,0.7800371430822433,-25826.450150931276,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1790.6514008886143,-18342.392400426637,0.0,1.7376674841813295,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2154.5673522569678,0.0,1.0697997835425528,-20521.895314840527,,,,
